name,lat,lon,elev_m
STAY,44.830707524,-122.820859384,110.8706976
STHM,44.396181299,-122.734228138,144.7584016
SUHS,42.986908861,-123.328826346,180.3223819
SUR6,49.074186283,-122.691903508,24.7646429
SURR,49.17464919,-122.695077091,13.0553705
SVI2,43.643062835,-121.253276785,1751.3537351
SWNB,43.672737234,-121.355445339,1550.3545373
SYNC,44.023854389,-121.776679932,1649.4287036
TACO,47.228867216,-122.471507721,81.0038756
TAHB,49.892992683,-126.677603026,453.7520129
TDLS,45.607711002,-121.129506669,26.5164158
TFNO,49.154142857,-125.907839042,-3.9141747
TGUA,46.219195075,-122.192331023,1618.3028117
THAR,46.275251347,-122.174034904,1430.5927364
THRM,44.089800176,-121.619567213,2166.5527024
THUN,47.105840728,-122.288465496,142.5143515
TILL,45.455129417,-123.830767541,-4.6078578
TMBU,43.601840441,-121.144568474,1721.184706
TPW2,46.207372758,-123.768363697,-14.9727255
TRND,41.053885959,-124.150866733,78.1823966
TSEP,46.200013453,-122.190680925,2104.6765277
TSTU,46.236867575,-122.224064303,1248.6604177
TUMW,46.984300745,-122.912161499,46.0825784
TWHL,47.01590546,-122.92287557,107.2744388
TWIW,46.21291555,-122.158732435,1630.5642461
TWRI,46.197901896,-122.211924394,2071.0542218
UCLU,48.925637606,-125.54164083,10.0779692
UFDA,47.755009362,-122.667416405,76.6373029
V081,47.604099282,-122.338500788,-0.4962369
V096,47.601636097,-122.33624821,-0.6225638
V102,47.60058516,-122.335720002,-1.0283043
VCWA,45.617627183,-122.516072054,77.0316679
VIC1,48.453439732,-123.542542708,63.0874134
VNCR,49.266028581,-123.098497901,10.6861786
WACS,46.675429323,-122.970012186,39.3590154
WAEN,47.203314204,-121.985366993,212.7144456
WAEV,47.981495142,-122.20809219,66.6239221
WAFD,48.828435763,-122.555082558,7.3349685
WAFH,48.532697183,-123.018649711,10.1616454
WAFK,47.967811875,-124.409715908,75.4428644
WAFR,48.53064176,-123.027170181,32.6928633
WAK2,46.112725641,-122.889709648,-7.2806134
WAKI,47.708755122,-122.187489991,43.6330362
WAKL,46.113487471,-122.889470124,-10.7264615
WAM1,48.384298509,-122.332988489,-9.6957268
WAMC,45.223829778,-121.273631582,528.119622
WAMO,46.554667925,-122.273677321,273.388166
WAMS,46.977580901,-123.602375593,-9.0475824
WAMV,48.384461332,-122.333060918,-11.8135548
WAOL,47.046479763,-122.843766455,45.4067917
WAOY,47.047904946,-122.838917632,48.2771093
WAPO,47.803480194,-122.569174392,19.7706778
WAPS,47.451198067,-122.320806064,94.9344462
WAPT,48.111431465,-123.362936911,45.6271658
WARM,47.680662928,-122.136657311,-7.4080504
WASH,47.233004405,-123.124618453,57.4563854
WASQ,47.526647023,-121.826152761,115.8130104
WAT4,47.240009629,-122.380776797,-11.1343549
WDBN,45.170864146,-122.870053066,39.8190751
WDCB,40.580100029,-122.540650368,259.6476462
WEBG,45.779576465,-122.562823024,66.6161625
WEEZ,47.976884068,-122.204729631,65.2224601
WHBR,44.163173439,-121.978603318,688.3287866
WHD5,48.312715742,-122.696143711,13.9985237
WHD6,48.312442314,-122.696144201,10.7934646
WIF3,44.059630907,-121.817577352,1947.3800492
WIFC,44.059642044,-121.817563388,1949.5881319
WIFR,44.059678382,-121.817579502,1951.5454348
WMSG,45.131264474,-121.597275406,1048.0475088
